Date;"CO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"O3 (ug/m3)";"PM10 (ug/m3)";"PM2.5 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;85;;-;50;-;125
"2021-01-01 00:00:00";459;7,5;9,9;41,2;12;17;1,3
"2021-01-02 00:00:00";535;15,2;19,5;37,1;16;13;1,6
"2021-01-03 00:00:00";551;13,7;17,0;38,9;16;17;1,4
"2021-01-04 00:00:00";649;28,2;46,6;17,8;20;18;1,3
"2021-01-05 00:00:00";504;13,0;16,9;35,3;12;16;1,0
"2021-01-06 00:00:00";547;15,9;20,5;37,4;15;14;1,8
"2021-01-07 00:00:00";578;13,4;18,8;31,3;12;14;1,2
"2021-01-08 00:00:00";838;28,7;68,1;5,5;23;29;1,3
"2021-01-09 00:00:00";710;18,9;25,9;15,9;21;27;0,8
"2021-01-10 00:00:00";678;18,9;30,3;27,4;22;30;1,0
"2021-01-11 00:00:00";680;26,7;46,9;15,1;26;26;2,0
"2021-01-12 00:00:00";526;10,5;16,1;22,5;26;34;1,9
"2021-01-13 00:00:00";484;16,7;25,3;33,5;20;30;2,2
"2021-01-14 00:00:00";426;21,8;32,0;33,3;14;19;2,2
"2021-01-15 00:00:00";458;23,6;32,4;30,4;14;21;2,6
"2021-01-16 00:00:00";489;21,8;30,6;42,3;19;21;3,2
"2021-01-17 00:00:00";555;14,2;18,8;43,3;24;30;3,1
"2021-01-18 00:00:00";555;18,6;25,7;42,0;29;37;3,2
"2021-01-19 00:00:00";641;15,9;21,6;36,8;29;41;4,1
"2021-01-20 00:00:00";587;11,3;15,9;50,6;17;28;6,9
"2021-01-21 00:00:00";480;6,2;9,2;63,5;9;12;9,0
"2021-01-22 00:00:00";480;5,2;7,9;65,7;8;7;5,2
"2021-01-23 00:00:00";592;10,7;14,9;57,7;14;11;3,4
"2021-01-24 00:00:00";683;10,5;15,8;45,1;14;15;3,4
"2021-01-25 00:00:00";663;18,8;25,4;34,6;13;17;2,9
"2021-01-26 00:00:00";1061;30,5;86,4;21,5;33;26;6,0
"2021-01-27 00:00:00";959;35,4;76,4;21,8;34;48;6,5
"2021-01-28 00:00:00";605;21,4;35,3;39,4;19;22;4,0
"2021-01-29 00:00:00";575;12,5;17,3;39,4;13;18;4,4
"2021-01-30 00:00:00";514;12,8;17,4;41,7;10;10;3,1
"2021-01-31 00:00:00";510;13,4;19,9;50,3;16;15;3,8
"2021-02-01 00:00:00";595;20,9;28,5;31,9;22;22;3,7
"2021-02-02 00:00:00";600;16,4;22,7;30,3;24;30;5,7
"2021-02-03 00:00:00";576;11,3;15,5;38,1;20;26;7,7
"2021-02-04 00:00:00";430;10,6;14,0;48,5;9;10;3,8
"2021-02-05 00:00:00";650;27,5;51,6;15,7;23;19;4,2
"2021-02-06 00:00:00";563;21,7;40,3;22,3;21;24;3,5
"2021-02-07 00:00:00";561;13,6;20,7;25,1;25;23;3,5
"2021-02-08 00:00:00";501;16,3;26,1;21,2;15;21;3,6
"2021-02-09 00:00:00";411;21,3;32,1;23,6;14;19;3,1
"2021-02-10 00:00:00";502;19,7;27,1;20,9;18;21;3,4
"2021-02-11 00:00:00";400;16,5;20,8;52,4;32;37;7,1
"2021-02-12 00:00:00";281;17,8;21,9;62,4;17;20;8,5
"2021-02-13 00:00:00";313;21,7;27,2;57,0;17;19;5,7
"2021-02-14 00:00:00";376;25,8;33,8;50,1;19;20;4,8
"2021-02-15 00:00:00";443;30,4;38,5;48,2;23;21;5,0
"2021-02-16 00:00:00";492;24,5;35,5;46,5;23;25;5,1
"2021-02-17 00:00:00";434;19,0;23,5;46,4;23;21;9,9
"2021-02-18 00:00:00";745;29,6;43,7;23,0;52;59;6,4
"2021-02-19 00:00:00";629;23,9;30,7;34,3;26;43;6,7
"2021-02-20 00:00:00";805;28,3;40,3;31,0;32;38;5,1
"2021-02-21 00:00:00";705;19,3;24,8;39,9;25;36;5,6
"2021-02-22 00:00:00";873;34,4;74,2;32,4;34;31;6,8
"2021-02-23 00:00:00";778;35,4;53,8;34,1;34;43;8,4
"2021-02-24 00:00:00";1137;41,5;105,1;28,0;59;58;5,0
"2021-02-25 00:00:00";1214;37,2;111,0;29,1;81;72;2,6
"2021-02-26 00:00:00";1197;36,5;121,7;26,9;83;79;2,5
"2021-02-27 00:00:00";315;13,4;17,1;58,0;14;30;1,4
"2021-02-28 00:00:00";348;17,5;22,7;47,1;14;14;1,4
"2021-03-01 00:00:00";322;16,4;22,6;43,1;11;15;0,8
"2021-03-02 00:00:00";504;25,6;44,8;34,9;24;21;1,2
"2021-03-03 00:00:00";614;23,5;48,6;37,8;34;34;1,3
